day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle,area_accident_occured,lanes_or_medians,road_allignment,types_of_junction,road_surface_type,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,pedestrian_movement,cause_of_accident,hour,time_period,Predicted_Accident_Severity
Wednesday,31-50,Male,Above high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,8,Morning,2
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with pedestrians,2,1,Going straight,Unknown or other,Changing lane to the right,8,Morning,2
Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,8,Morning,2
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,18,Evening,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,12,Afternoon,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overtaking,12,Afternoon,2
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,7,Morning,2
Wednesday,31-50,Unknown,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,7,Morning,2
Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving carelessly,6,Morning,1
Sunday,18-30,Male,Above high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Moving Backward,6,Morning,1
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,15,Afternoon,2
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Reversing,Not a Pedestrian,No priority to vehicle,18,Evening,2
Thursday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Overturning,21,Night,2
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,21,Night,2
Thursday,18-30,Unknown,Junior high school,Employee,Below 1yr,Other,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,21,Night,2
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Unknown,Crossing from driver's nearside,Moving Backward,16,Afternoon,2
Friday,31-50,Male,Junior high school,Owner,5-10yr,Stationwagen,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to vehicle,16,Afternoon,2
Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to vehicle,16,Afternoon,2
Friday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No distancing,16,Afternoon,2
Friday,Unknown,Female,Elementary school,Employee,No Licence,Ridden horse,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No distancing,16,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,20,Evening,2
Monday,18-30,Male,Junior high school,Owner,Above 10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,20,Evening,2
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,2,Unknown,Not a Pedestrian,Changing lane to the right,20,Evening,2
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Not a Pedestrian,Changing lane to the left,15,Afternoon,2
Thursday,31-50,Unknown,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,20,Evening,2
Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Governmental,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Turnover,Not a Pedestrian,Moving Backward,20,Evening,2
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Turnover,Not a Pedestrian,Moving Backward,13,Afternoon,2
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,2,Reversing,Not a Pedestrian,Changing lane to the right,13,Afternoon,2
Sunday,31-50,Male,Above high school,Employee,1-2yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,No priority to vehicle,13,Afternoon,2
Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Not a Pedestrian,Driving at high speed,16,Afternoon,2
Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Taxi,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,16,Afternoon,2
Monday,31-50,Male,Unknown,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,15,Afternoon,1
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No distancing,18,Evening,2
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Changing lane to the left,18,Evening,2
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,18,Evening,2
Tuesday,Over 51,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Governmental,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No distancing,18,Evening,2
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,18,Evening,2
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,One way,Escarpments,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overtaking,18,Evening,2
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,12,Afternoon,2
Friday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,Driving under the influence of drugs,12,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,Moving Backward,15,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Rollover,3,4,Moving Backward,Not a Pedestrian,Overturning,15,Afternoon,1
Monday,Over 51,Unknown,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,3,4,Going straight,Not a Pedestrian,Driving under the influence of drugs,15,Afternoon,1
Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,Changing lane to the right,15,Afternoon,2
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Changing lane to the left,8,Morning,2
Wednesday,31-50,Male,High school,Employee,Below 1yr,Public (> 45 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,"Walking along in carriageway, back to traffic",No distancing,16,Afternoon,1
Saturday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,19,Evening,2
Saturday,18-30,Male,High school,Owner,1-2yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Waiting to go,Not a Pedestrian,No priority to vehicle,19,Evening,2
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Below 1yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist,Vehicle with vehicle collision,2,1,Moving Backward,"Walking along in carriageway, facing traffic",Moving Backward,8,Morning,2
Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist,Vehicle with vehicle collision,2,1,Moving Backward,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,8,Morning,2
Saturday,18-30,Male,High school,Owner,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,17,Evening,2
